"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2","1","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1,D3,D4,D5,D6,D14,D15","7","1N4148","","","","Diode_SMD:D_SOD-323_HandSoldering","~"
"J15","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J102","1","Conn_01x11_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","~"
"Q1,Q3","2","BC857","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC860-D.pdf"
"Q2,Q4","2","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
"R1,R2,R6,R8,R14","5","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3,R4,R5,R7,R15,R17,R24,R26,R27,R28,R29,R30","12","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R12","1","2k2","","","","Resistor_SMD:R_1206_3216Metric","~"
"R13","1","47k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R25,R35","2","27k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R36,R37","2","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"U3","1","4001","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf"
"U5,U6","2","TL074","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
