Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_1206_3216Metric",176.290000,-96.637500,-0.000000,top
"C2","100n","C_1206_3216Metric",160.950000,-90.905000,0.000000,top
"D1","D","D_SOD-323_HandSoldering",176.315000,-98.912500,-0.000000,top
"D3","D","D_SOD-323_HandSoldering",160.725000,-86.960000,180.000000,top
"D4","D","D_SOD-323_HandSoldering",160.725000,-84.810000,0.000000,top
"D5","D","D_SOD-323_HandSoldering",176.325000,-79.910000,180.000000,top
"D6","D","D_SOD-323_HandSoldering",176.237500,-89.500000,180.000000,top
"D14","D","D_SOD-323_HandSoldering",172.350000,-120.815000,180.000000,top
"D15","D","D_SOD-323_HandSoldering",164.350000,-120.715000,180.000000,top
"Q1","BC857","SOT-23",156.387500,-86.060000,180.000000,top
"Q2","BC847","SOT-23",157.540000,-95.375000,-90.000000,top
"Q3","BC857","SOT-23",166.240000,-104.550000,90.000000,top
"Q4","BC847","SOT-23",156.350000,-82.305000,180.000000,top
"R1","10k","R_1206_3216Metric",161.665000,-95.132500,-0.000000,top
"R2","10k","R_1206_3216Metric",161.665000,-97.532500,180.000000,top
"R3","100k","R_1206_3216Metric",176.290000,-94.190000,0.000000,top
"R4","100k","R_1206_3216Metric",181.240000,-98.875000,-0.000000,top
"R5","100k","R_1206_3216Metric",176.315000,-101.112500,-0.000000,top
"R6","10k","R_1206_3216Metric",161.665000,-100.032500,-0.000000,top
"R7","100k","R_1206_3216Metric",160.352500,-111.652500,180.000000,top
"R8","10k","R_1206_3216Metric",160.925000,-82.410000,180.000000,top
"R12","2k2","R_1206_3216Metric",176.375000,-82.210000,0.000000,top
"R13","47k","R_1206_3216Metric",176.375000,-84.710000,180.000000,top
"R14","10k","R_1206_3216Metric",176.375000,-87.210000,180.000000,top
"R15","100k","R_1206_3216Metric",160.352500,-109.252500,0.000000,top
"R17","100k","R_1206_3216Metric",176.402500,-109.500000,180.000000,top
"R24","100k","R_1206_3216Metric",160.352500,-106.852500,180.000000,top
"R25","27k","R_1206_3216Metric",160.342500,-114.112500,0.000000,top
"R26","100k","R_1206_3216Metric",176.275000,-91.700000,180.000000,top
"R27","100k","R_1206_3216Metric",176.412500,-112.352500,180.000000,top
"R28","100k","R_1206_3216Metric",176.412500,-114.852500,0.000000,top
"R29","100k","R_1206_3216Metric",160.375000,-104.452500,180.000000,top
"R30","100k","R_1206_3216Metric",176.412500,-117.352500,0.000000,top
"R35","27k","R_1206_3216Metric",176.402500,-107.100000,180.000000,top
"R36","1k","R_1206_3216Metric",176.402500,-104.700000,180.000000,top
"R37","1k","R_1206_3216Metric",160.352500,-116.552500,180.000000,top
"U3","4001","SO-14_3.9x8.65mm_P1.27mm",168.365000,-97.325000,180.000000,top
"U5","TL074","SO-14_3.9x8.65mm_P1.27mm",168.550000,-85.975000,0.000000,top
"U6","TL074","SO-14_3.9x8.65mm_P1.27mm",168.475000,-111.552500,0.000000,top
